name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
BasicChest,BasicChest,,0,0,craftItem;storage,,,
GreenEnergyBar,GreenEnergyBar,,0,0,craftItem;food,6;10,,
ProteinBar,ProteinBar,,0,0,craftItem;food,20;25,,
Furnace,Furnace,,0,0,craftItem;creator,,,
MachinePartMaker,MachinePartMaker,,0,0,craftItem;creator,,,
Pump,Pump,,0,0,craftItem;machine,,,
Sprinkler,Sprinkler,,0,0,craftItem;machine,,,
RecycleMachine,RecycleMachine,,0,100,craftItem;machine,,,
EmptyJar,EmptyJar,,0,0,craftItem,,,
LatexHarvestKit,LatexHarvestKit,,0,0,craftItem,,,
Forge,Forge,,0,0,craftItem,,,
Fermenter,Fermenter,,0,0,craftItem;machine,,,
WeavingMachine,WeavingMachine,,0,0,craftItem;machine,,,
EnhancedSprinkler,EnhancedSprinkler,,0,0,craftItem;machine,,,
,,,,,,,,
