name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
Sardine,Sardine,,,,fish,,,
Herring,Herring,,,,fish,,,
Tuna,Tuna,,,,fish,,,
Salmon,Salmon,,,,fish,,,
Trout,Trout,,,,fish,,,
Smelt,Smelt,,,,fish,,,
Perch,Perch,,,,fish,,,
Carp,Carp,,,,fish,,,
Catfish,Catfish,,,,fish,,,
Tilapia,Tilapia,,,,fish,,,
Bass,Bass,,,,fish,,,
AlligatorGar,AlligatorGar,,,,fish,,,
Bluegill,Bluegill,,,,fish,,,
Anchovy,Anchovy,,,,fish,,,
Loach,Loach,,,,fish,,,
KingCrab,KingCrab,,,,fish,,,
Lobster,Lobster,,,,fish,,,
BlueCrab,BlueCrab,,,,fish,,,
StoneCrab,StoneCrab,,,,fish,,,
GreenCrab,GreenCrab,,,,fish,,,
Crawfish,Crawfish,,,,fish,,,
AppleSnail,AppleSnail,,,,fish,,,
Sturgeon,Sturgeon,,,,fish,,,
PearlMussel,PearlMussel,,,,fish,,,
Scallop,Scallop,,,,fish,,,
Oyster,Oyster,,,,fish,,,
Octopus,Octopus,,,,fish,,,
Squid,Squid,,,,fish,,,
