name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
FriedEgg,FriedEgg,,,,food,30;25,,
BoiledEgg,BoiledEgg,,,,food,15;25,,
EggTart,EggTart,,,,food,15;25,,
CurryRice,CurryRice,,,,food,50;50,,
ThaiRedCurry,ThaiRedCurry,,,,food,55;45,,
EggCurry,EggCurry,,,,food,55;45,,
HotMilk,HotMilk,,,,drink,30;30,,
CondensedMilk,CondensedMilk,,,,drink,35;40,,
EggCoffee,EggCoffee,,,,drink,40;40,,
Tamagozake,Tamagozake,,,,drink,60;40,,
ChocolateMilk,ChocolateMilk,,,,drink,30;25,,
Sake,Sake,,,,drink,"50,50",,
IceCream,IceCream,,,,food,45;30,,
