name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
GreenHerb,GreenHerb,,5,5,forage;material,2;10,,
WaterJar,WaterJar,,5,5,forage;material,,,
Breadfruit,Breadfruit,,,,forage;fruit;food,"5,25",,
RoastedBreadfruit,RoastedBreadfruit,,,,food,"15, 25",,
Gooseberry,Gooseberry,,5,5,forage;fruit,"5,15",,
Raspberry,Raspberry,,,,forage;fruit,,,
Pursley,Pursley,,,,forage,4;15,,
Bluebell,Bluebell,,,,forage;flower,,,
CherryBlossom,CherryBlossom,,,,forage;flower,,,
Groundcherry,Groundcherry,,,,forage;fruit,,,
Daisy,Daisy,,,,forage;flower,,,
Lavender,Lavender,,,,forage;flower,,,
Jasmine,Jasmine,,,,forage;flower,,,
Scabiosa,Scabiosa,,,,forage;flower,,,
Snowdrop,Snowdrop,,,,forage;flower,,,
Daffodil,Daffodil,,,,forage;flower,,,
Acorn,Acorn,,,,forage,,,
WildGrape,WildGrape,,,,forage;fruit,5;10,,
