name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
SunflowerSeeds,SunflowerSeeds,227,0,0,seed,,,
Sunflower,Sunflower,287,0,0,crop; flower,,,
CarrotSeeds,CarrotSeeds,0,0,0,seed,,,
Carrot,Carrot,0,0,0,crop; vegetable,5;25,,
Hoe,Hoe,234,0,0,tool,,,true
WateringCan,WateringCan,233,0,0,tool,,,true
Sickle,Sickle,235,0,0,tool,,,true
Hammer,Hammer,232,0,0,tool,,,true
Axe,Axe,231,0,0,tool,,,true
Corn,Corn,,0,0,crop; grain,10;25,,
CornSeeds,CornSeeds,,0,0,seed,,,
OatSeeds,OatSeeds,,,,seed,,,
OatGrain,OatGrain,,,,crop; grain,,,
