name,localizeKey,iconIndex,price,shipPrice,tag,stamina,levelPriceBonus,nonDiscardable
Amethyst,Amethyst,,,,mineral,,,
PurpleHerb,PurpleHerb,,,,forage,"4,10",,
Jasper,Jasper,,,,mineral,,,
Jade,Jade,,,,mineral,,,
Agate,Agate,,,,mineral,,,
Peridot,Peridot,,,,mineral,,,
Sapphire,Sapphire,,,,mineral,,,
Emerald,Emerald,,,,mineral,,,
Ruby,Ruby,,,,mineral,,,
Diamond,Diamond,,,,mineral,,,
Jadeite,Jadeite,,,,mineral,,,
Turquoise,Turquoise,,,,mineral,,,
Aquamarine,Aquamarine,,,,mineral,,,
ScrapOre,ScrapOre,,,,mineral,,,
RedHerb,RedHerb,,,,forage,"8,10",,
Obsidian,Obsidian,,,,mineral,,,
Bauxite,Bauxite,,,,mineral,,,
Kyanite,Kyanite,,,,mineral,,,
Quartz,Quartz,,,,mineral,,,
Limestone,Limestone,,,,mineral,,,
